Time; HostId; CPU; Memory; Storage; N_VM
40; 10004; 0.0028935; 1.6; 2.08333; 1
40; 10005; 0; 8.125; 2.08333; 1
40; 10006; 0.0417777; 16.25; 4.16667; 2
40; 10007; 0.0416932; 24.375; 6.25; 3
40; 10008; 0.0417777; 16.25; 4.16667; 2
40; 10009; 0; 0; 0; 0
42; 10001; 0.00912967; 50; 10; 8
42; 10002; 0.0146733; 20.35; 5.83333; 4
42; 10003; 0.0146733; 59.725; 14.1667; 10
42; 10004; 0.0028935; 1.6; 2.08333; 1
42; 10005; 0; 8.125; 2.08333; 1
42; 10006; 0.0417777; 16.25; 4.16667; 2
42; 10007; 0.0416932; 24.375; 6.25; 3
42; 10008; 0.0417777; 16.25; 4.16667; 2
42; 10009; 0; 0; 0; 0
44; 10001; 0.00912967; 56.25; 11.25; 9
44; 10002; 0.0146733; 20.35; 5.83333; 4
44; 10003; 0.0146733; 65.975; 15.4167; 11
44; 10004; 0.0028935; 1.6; 2.08333; 1
44; 10005; 0; 8.125; 2.08333; 1
44; 10006; 0.0417777; 24.375; 6.25; 3
44; 10007; 0.0416932; 32.5; 8.33333; 4
44; 10008; 0.0417777; 24.375; 6.25; 3
44; 10009; 0; 0; 0; 0
46; 10001; 0.00912967; 62.5; 12.5; 10
46; 10002; 0.0146733; 26.6; 7.08333; 5
46; 10003; 0.0146733; 72.225; 16.6667; 12
46; 10004; 0.0028935; 1.6; 2.08333; 1
46; 10005; 0; 8.125; 2.08333; 1
46; 10006; 0.0417777; 24.375; 6.25; 3
46; 10007; 0.0416932; 32.5; 8.33333; 4
46; 10008; 0.0417777; 24.375; 6.25; 3
46; 10009; 0; 0; 0; 0
48; 10001; 0.00912967; 62.5; 12.5; 10
48; 10002; 0.0146733; 26.6; 7.08333; 5
48; 10003; 0.0146733; 72.225; 16.6667; 12
48; 10004; 0.0028935; 1.6; 2.08333; 1
48; 10005; 0; 8.125; 2.08333; 1
48; 10006; 0.0417777; 24.375; 6.25; 3
48; 10007; 0.0416932; 32.5; 8.33333; 4
48; 10008; 0.0417777; 24.375; 6.25; 3
48; 10009; 0; 0; 0; 0
